neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,latitude,longitude
Unknown,City of Las Vegas,Entire home/apt,68,3,31,36.17862,-115.20978
Manhattan,Chelsea,Entire home/apt,175,30,0,40.73991,-73.99696
Other Cities,Santa Monica,Entire home/apt,368,2,5,34.022255952439295,-118.46865170410778
Unknown,Sequoyah,Entire home/apt,149,7,0,37.7710116,-122.1512361
Unincorporated Areas,Rowland Heights,Private room,35,1,4,33.97948,-117.88255
City of Los Angeles,Downtown,Entire home/apt,99,30,1,34.04291,-118.25366
Unknown,Miramar,Private room,96,1,98,25.96185,-80.34601
Unknown,West End,Entire home/apt,301,75,6,42.364277,-71.068024
Unknown,Treme - Lafitte,Entire home/apt,65,30,5,29.966652,-90.066811
City of Los Angeles,Broadway-Manchester,Private room,44,30,5,33.946663,-118.275253
Unknown,28704,Entire home/apt,250,1,0,35.4913164,-82.5711907
Unknown,Fairview Park,Entire home/apt,92,5,73,37.84916,-122.25684
Brooklyn,Bushwick,Private room,150,3,6,40.69828,-73.92942
Unknown,"Brightwood Park, Crestwood, Petworth",Entire home/apt,350,70,3,38.94185,-77.02352
Manhattan,Harlem,Entire home/apt,113,30,26,40.8099,-73.94421
Unknown,28805,Entire home/apt,90,28,31,35.59582,-82.53764
Manhattan,Tribeca,Entire home/apt,1262,2,0,40.716459938134165,-74.00840802527826
Unknown,Mid-City,Entire home/apt,113,3,97,29.97142,-90.10308
Other Cities,Whittier,Entire home/apt,408,2,57,33.96442,-117.98894
Brooklyn,Williamsburg,Private room,35,30,3,40.70941,-73.95309
Manhattan,Midtown,Hotel room,339,1,17,40.75591,-73.97157
Brooklyn,Bushwick,Private room,45,5,75,40.69925,-73.92161
Central Area,Atlantic,Entire home/apt,127,31,0,47.5989426,-122.3011182
Unknown,78701,Entire home/apt,255,2,0,30.25743321801089,-97.7397190920114
Unknown,78704,Entire home/apt,296,30,1,30.24325,-97.75516
Unknown,Palo Alto,Entire home/apt,165,4,0,37.40465,-122.12625
Unknown,Unincorporated Areas,Entire home/apt,255,2,66,36.08531,-115.2136
Queens,Corona,Shared room,65,1,25,40.74955,-73.86302
Manhattan,Upper West Side,Entire home/apt,175,30,4,40.7823,-73.97477
Brooklyn,East Flatbush,Entire home/apt,126,1,16,40.66071,-73.92714
Manhattan,Hell's Kitchen,Entire home/apt,740,1,0,40.765663509611976,-73.99512669392504
Unknown,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,129,2,7,38.91973924597034,-77.01420720748527
Other Cities,Malibu,Entire home/apt,825,2,87,34.03841,-118.61797
Other Cities,Whittier,Entire home/apt,136,2,31,33.96259,-118.01362
City of Los Angeles,Arleta,Entire home/apt,1999,2,0,34.238268292055274,-118.43614903063342
Unknown,Bywater,Entire home/apt,938,3,73,29.9629,-90.047096
Unknown,Santa Clara,Private room,49,1,99,37.32595,-121.99633
Unknown,City of Henderson,Entire home/apt,307,31,7,36.0756,-115.05501
Unknown,Atherton,Entire home/apt,5500,2,34,37.44072,-122.21473
Unknown,28801,Entire home/apt,191,2,159,35.59369,-82.55755
Unknown,78744,Entire home/apt,200,2,14,30.1607146,-97.7798536
Manhattan,West Village,Entire home/apt,128,30,0,40.73233949999999,-74.0023085
City of Los Angeles,Sherman Oaks,Private room,99,30,0,34.16411,-118.4566
Unknown,New City,Entire home/apt,72,1,7,41.805164,-87.674355
City of Los Angeles,Downtown,Entire home/apt,359,30,0,34.047712,-118.264761
Other Cities,Palmdale,Private room,65,80,4,34.58109,-118.14486
Other Cities,West Hollywood,Entire home/apt,126,2,67,34.09316,-118.34532
Unknown,78741,Entire home/apt,439,3,17,30.23818,-97.7322
Unknown,District 19,Entire home/apt,205,1,6,36.1536594,-86.7751858
Unknown,Fort Lauderdale,Entire home/apt,385,1,0,26.12587,-80.11929
Manhattan,East Village,Private room,86,4,5,40.72485,-73.98947
Unknown,Downtown,Entire home/apt,148,1,45,39.9565,-83.00098
Unknown,Washington Heights,Entire home/apt,172,1,5,41.70765,-87.63778
Other Cities,Long Beach,Entire home/apt,79,1,5,33.82274,-118.21791
Manhattan,Midtown,Entire home/apt,210,30,16,40.76521,-73.97932
Manhattan,Washington Heights,Entire home/apt,119,30,3,40.84603,-73.94339
Unknown,Central City,Entire home/apt,423,3,48,29.93635,-90.08205
Unknown,Gaslamp Quarter,Entire home/apt,167,2,3,32.71432,-117.15939
Unknown,Mountain View,Entire home/apt,192,31,1,37.3988771,-122.093121
City of Los Angeles,East Hollywood,Entire home/apt,60,30,2,34.08517,-118.29902
Unknown,Milan,Entire home/apt,256,1,13,29.9334,-90.09323
Unknown,Hollywood,Entire home/apt,1193,1,2,26.00531,-80.12492
Unknown,East Village,Entire home/apt,155,31,5,32.71525,-117.15346
Unknown,Hollywood,Entire home/apt,1656,3,73,26.04105,-80.17207
Unknown,Lake View,Private room,98,33,0,41.939169918506586,-87.65004747983095
Unknown,East Riverside,Entire home/apt,245,30,52,29.9207,-90.09199
Interbay,Interbay,Entire home/apt,200,90,0,47.65563,-122.38537
Unknown,Mid-City,Entire home/apt,199,2,15,29.96985,-90.10593
Brooklyn,Flatbush,Private room,63,1,2,40.65219073532755,-73.95989435785694
Unknown,78704,Entire home/apt,266,2,12,30.26151,-97.77437
City of Los Angeles,Silver Lake,Entire home/apt,120,30,27,34.07936,-118.27639
Unknown,28806,Entire home/apt,100,1,0,35.5571,-82.60526
City of Los Angeles,Los Feliz,Entire home/apt,133,30,91,34.09865,-118.28422
Unknown,Cooper City,Entire home/apt,300,4,63,26.05314,-80.26377
Unknown,Maplewood,Private room,32,4,16,45.47394,-122.73137
Other Cities,Redondo Beach,Entire home/apt,325,21,1,33.84062,-118.38341
City of Los Angeles,Echo Park,Entire home/apt,85,30,62,34.07619,-118.25415
Unknown,78723,Entire home/apt,183,1,0,30.31935345087867,-97.68248976049664
Unknown,Cupertino,Private room,90,2,170,37.30278,-122.06188
Unknown,District 19,Entire home/apt,177,1,14,36.15585,-86.77272
Unknown,Kerns,Entire home/apt,51,1,115,45.5294,-122.64256
Unknown,St. Roch,Private room,99,3,6,29.97043,-90.05561
Unknown,Financial District,Entire home/apt,120,30,113,37.79739,-122.4052
Unknown,Unincorporated Areas,Entire home/apt,227,2,107,37.05105,-122.06107
Unknown,San Jose,Private room,49,1,7,37.22933,-121.90818
Brooklyn,Bushwick,Private room,25,30,0,40.68653,-73.91025
Brooklyn,Flatbush,Entire home/apt,415,30,3,40.63811,-73.96016
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,180,9,40.68234,-73.9385
Unknown,Palo Alto,Entire home/apt,140,2,23,37.42427,-122.1515
Unknown,Portage Park,Private room,209,2,21,41.93882,-87.75542
Other Cities,Monterey Park,Private room,151,5,0,34.06779,-118.13309
Unknown,East Cambridge,Private room,65,91,1,42.37136,-71.08008
Other Cities,West Hollywood,Entire home/apt,289,2,3,34.08859609277223,-118.35467093609184
Unknown,East Village,Entire home/apt,364,30,26,32.70632,-117.15568
Unknown,District 6,Private room,120,2,326,36.19123,-86.74158
Other Cities,Beverly Hills,Entire home/apt,478,1,1,34.06163,-118.3761
Unknown,Carmel Valley,Entire home/apt,120,31,12,32.94397,-117.23475
Unknown,28806,Entire home/apt,53,1,50,35.56909,-82.61576
Unknown,East Village,Entire home/apt,124,2,34,32.71403,-117.15856
Unknown,78725,Private room,107,1,1,30.2659,-97.62693
Brooklyn,Clinton Hill,Private room,80,30,12,40.69408,-73.96493
Unknown,Western Addition,Private room,74,3,66,37.76949,-122.4289
Unknown,Diamond Heights,Entire home/apt,575,4,21,37.73666,-122.44309
Other Cities,Glendale,Entire home/apt,206,2,73,34.17498,-118.25666
Unknown,Santa Clara,Private room,69,4,3,37.34183,-121.98023
Unknown,Gateway - Green Valley Ranch,Private room,32,29,7,39.77567,-104.76736
Staten Island,St. George,Entire home/apt,141,3,51,40.64458,-74.08005
Newport,Newport,Entire home/apt,350,30,71,41.48227,-71.31521
Unknown,Unincorporated Areas,Private room,235,3,1,36.1089,-115.17198
Cascade,South Lake Union,Entire home/apt,165,30,1,47.62114,-122.343178
City of Los Angeles,Sherman Oaks,Private room,71,30,0,34.164390102659986,-118.45464056750646
Unknown,Bayou St. John,Entire home/apt,263,2,1,29.977705142836488,-90.08131451904774
City of Los Angeles,Hollywood Hills West,Entire home/apt,791,2,1,34.10108,-118.36378
City of Los Angeles,Sherman Oaks,Entire home/apt,863,3,98,34.13675,-118.44915
Unknown,Hollywood,Entire home/apt,197,3,208,26.01927,-80.14042
Unknown,Chinatown,Entire home/apt,135,91,7,42.34942,-71.06341
Unknown,Fort Lauderdale,Entire home/apt,389,2,2,26.15418,-80.12048
Brooklyn,Carroll Gardens,Private room,88,10,109,40.68274,-73.99252
Unknown,St. Claude,Entire home/apt,113,2,474,29.96774,-90.03713
Unknown,Lauderdale By The Sea,Entire home/apt,176,7,4,26.18775,-80.10141
Manhattan,Lower East Side,Entire home/apt,138,15,20,40.71864,-73.99388
Unknown,District 2,Entire home/apt,105,2,3,36.19725,-86.78217
Unknown,Washington Park,Private room,38,32,6,41.79449,-87.62746
Unknown,78705,Entire home/apt,184,2,8,30.28909,-97.74858
Unknown,Twin Peaks,Entire home/apt,193,30,1,37.74758,-122.44562
Unknown,East Riverside,Entire home/apt,196,30,11,29.92141,-90.09004
Unknown,Mission,Entire home/apt,299,30,0,37.75134,-122.40611
City of Los Angeles,East Hollywood,Private room,50,30,3,34.08732,-118.30781
Unknown,Ward C (councilmember Richard Boggiano),Entire home/apt,145,365,7,40.73955,-74.06336
Unknown,Little Italy,Entire home/apt,232,2,53,32.72908,-117.17038
Queens,Astoria,Private room,56,30,5,40.7661,-73.92465
Unknown,Santa Clara,Entire home/apt,280,2,0,37.3693953,-121.9799027
Unknown,District 29,Entire home/apt,108,30,22,36.08138,-86.6169
Brooklyn,Prospect Heights,Private room,80,30,1,40.68222,-73.97116
Other Cities,Glendale,Entire home/apt,475,2,19,34.1505,-118.25672
Unknown,Greenlawn/Frank Road,Shared room,40,1,0,39.90195,-83.05151
Brooklyn,Crown Heights,Entire home/apt,189,3,51,40.67289,-73.94344
Unknown,Unincorporated Areas,Entire home/apt,279,5,52,37.21947,-121.92339
Other neighborhoods,Wallingford,Entire home/apt,172,2,60,47.6542,-122.33876
Queens,Sunnyside,Entire home/apt,82,9,6,40.74495,-73.92422
Other Cities,Beverly Hills,Entire home/apt,160,1,0,34.05983,-118.38472
Other Cities,Redondo Beach,Entire home/apt,93,2,14,33.84277,-118.38773
Brooklyn,Bedford-Stuyvesant,Entire home/apt,180,1,45,40.68435,-73.91605
Unknown,District 24,Entire home/apt,71,28,1,36.14636,-86.83661
Unknown,Unincorporated Areas,Entire home/apt,114,1,107,36.11228,-115.1867
City of Los Angeles,Palms,Entire home/apt,264,31,0,34.0240208,-118.4064055
City of Los Angeles,Hollywood,Entire home/apt,56,31,4,34.10243,-118.34143
Unknown,Fort Lauderdale,Entire home/apt,351,1,8,26.1034721,-80.1518656
Unknown,Core,Entire home/apt,212,2,40,32.71654,-117.15702
Magnolia,Southeast Magnolia,Entire home/apt,188,2,115,47.64252,-122.38651
Unknown,Hollywood,Entire home/apt,294,5,35,26.037006,-80.22361
City of Los Angeles,Hollywood Hills,Entire home/apt,75,30,9,34.10861,-118.32257
City of Los Angeles,Sawtelle,Private room,55,30,3,34.04465,-118.46357
Manhattan,Gramercy,Entire home/apt,145,31,4,40.7335,-73.98242
Unknown,Fort Lauderdale,Entire home/apt,1600,3,0,26.10797,-80.16083
Capitol Hill,Broadway,Shared room,80,30,0,47.61586,-122.3246
Other Cities,Lawndale,Entire home/apt,57,3,0,33.88629921084188,-118.3575058591879
City of Los Angeles,Venice,Entire home/apt,250,30,218,33.99376,-118.46168
Unknown,Brighton,Entire home/apt,49,91,16,42.34341,-71.15451
Unknown,Margate,Entire home/apt,209,2,0,26.25237,-80.20592
Unknown,Daly City,Private room,50,30,3,37.70547,-122.43382
City of Los Angeles,Westwood,Private room,55,30,0,34.0539,-118.43011
Washington,South Kingstown,Entire home/apt,200,1,52,41.38453,-71.52593
Brooklyn,Sunset Park,Private room,57,1,0,40.64455273355161,-74.01057933808195
Unknown,Lake View,Entire home/apt,62,1,19,41.93692,-87.64117
Unknown,28801,Entire home/apt,113,2,197,35.599442,-82.558548
Unknown,District 6,Entire home/apt,277,2,70,36.18617,-86.71551
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,140,1,63,40.66149,-73.96155
Unknown,Unincorporated Areas,Entire home/apt,450,3,12,35.99604,-115.2206
Manhattan,Harlem,Entire home/apt,65,19,38,40.81609,-73.94355
Unknown,South San Francisco,Entire home/apt,301,2,0,37.66179,-122.4137
Brooklyn,Fort Greene,Entire home/apt,81,30,8,40.6884,-73.97332
Unknown,San Jose,Private room,43,1,45,37.33503,-121.83241
Unknown,78704,Entire home/apt,195,2,0,30.24505,-97.74042
Manhattan,Morningside Heights,Private room,88,1,160,40.8102,-73.95913
Unknown,Pacific Beach,Shared room,27,60,0,32.80006,-117.23683
Unknown,North Lauderdale,Entire home/apt,245,1,66,26.22606,-80.23779
Unknown,78749,Private room,150,2,0,30.20429,-97.83687
Unknown,Hollywood,Entire home/apt,178,1,206,26.01995,-80.11634
Manhattan,East Harlem,Entire home/apt,168,59,1,40.78643,-73.94858
Manhattan,Midtown,Entire home/apt,263,30,0,40.75156045768136,-73.97131415063836
Manhattan,Financial District,Entire home/apt,250,7,1,40.70851,-74.00894
Bronx,Parkchester,Entire home/apt,158,1,42,40.83825,-73.86896
Unknown,Menlo Park,Entire home/apt,249,31,0,37.4576295,-122.1895382
Unknown,Hollywood,Entire home/apt,338,1,0,25.9874,-80.11946
Unknown,Buckman,Private room,84,2,150,45.52208,-122.65372
City of Los Angeles,Mid-Wilshire,Entire home/apt,645,30,33,34.05357,-118.32652
Unknown,San Mateo,Private room,115,31,6,37.56627,-122.28805
Ballard,Sunset Hill,Entire home/apt,77,3,33,47.68084,-122.39598
Bronx,Concourse Village,Entire home/apt,119,4,4,40.82731864648665,-73.91947314079859
Manhattan,Upper West Side,Entire home/apt,232,5,16,40.80143,-73.96406
City of Los Angeles,Sherman Oaks,Private room,89,30,0,34.16239,-118.45512
City of Los Angeles,Downtown,Entire home/apt,218,30,195,34.04257,-118.25637
City of Los Angeles,West Los Angeles,Shared room,29,30,0,34.04592,-118.42851
City of Los Angeles,Tarzana,Entire home/apt,346,30,113,34.16032,-118.5305
Unknown,City of Las Vegas,Entire home/apt,83,30,12,36.13812,-115.18231
Unknown,Downtown,Entire home/apt,94,1,22,39.9596469,-82.9857084
Unknown,Hallandale Beach,Entire home/apt,280,28,0,25.9849114,-80.11834429999999
Unknown,North Clairemont,Private room,39,25,1,32.84224,-117.18848
Unknown,District 16,Entire home/apt,275,2,0,36.10426,-86.71295
Unknown,Mission Bay,Entire home/apt,2150,3,0,32.78008,-117.25166
Brooklyn,Bushwick,Shared room,178,2,0,40.68955170501125,-73.91665256774048
Unknown,Unincorporated Areas,Private room,53,28,16,36.13005,-115.21327
Unknown,District 19,Entire home/apt,351,1,149,36.16372,-86.78087
Unknown,Hillsboro Beach,Private room,472,1,0,26.29467,-80.07788
Unknown,Fort Lauderdale,Entire home/apt,101,1,13,26.1388662,-80.1305241
Queens,Sunnyside,Private room,82,30,1,40.74437,-73.92086
Unknown,Vernon,Entire home/apt,64,2,384,45.56586,-122.6547
City of Los Angeles,Pico-Robertson,Entire home/apt,175,1,0,34.05831,-118.38287
Unknown,Lower Garden District,Entire home/apt,92,2,141,29.93540573120117,-90.07218170166016
Unknown,Reservoir Hill-Meadow Brook,Entire home/apt,90,15,3,37.79445,-122.22605
Unknown,Mountain View,Entire home/apt,116,31,1,37.36834,-122.06356
Unknown,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,88,31,11,38.91261,-77.0099
Unknown,"Shaw, Logan Circle",Entire home/apt,183,31,3,38.90614,-77.03126
City of Los Angeles,North Hollywood,Private room,60,30,15,34.16331,-118.37447
Brooklyn,Bedford-Stuyvesant,Shared room,45,30,0,40.68141,-73.94537
Unknown,District 21,Entire home/apt,442,2,36,36.15796,-86.81778
Unknown,Midtown,Private room,80,2,91,32.73931,-117.16138
Unknown,"Georgetown, Burleith/Hillandale",Entire home/apt,100,31,1,38.909,-77.05837
Unknown,Hermosa,Entire home/apt,69,2,157,41.9195,-87.73807
Queens,East Elmhurst,Entire home/apt,296,30,0,40.75979,-73.88378
Unknown,78717,Private room,40,14,14,30.4891,-97.78818
Manhattan,Upper West Side,Entire home/apt,300,4,12,40.79829,-73.97367
City of Los Angeles,Venice,Entire home/apt,274,30,0,33.97323,-118.45997
Unknown,Hennepin,Entire home/apt,69,3,364,44.96293,-93.27537
Unknown,Mira Mesa,Entire home/apt,258,2,6,32.90456,-117.15066
Brooklyn,Bushwick,Entire home/apt,200,4,2,40.7009731,-73.9395268
Brooklyn,Greenpoint,Entire home/apt,151,30,1,40.73001,-73.95651
Unknown,78758,Entire home/apt,80,2,3,30.376581525394343,-97.70094066372155
Unknown,Ramsey,Entire home/apt,124,2,74,44.95364,-93.02145
Unknown,78721,Entire home/apt,400,4,3,30.26816,-97.68658
Unknown,Hennepin,Entire home/apt,189,1,0,44.9406895361813,-93.29979995170416
Unknown,San Jose,Entire home/apt,170,2,155,37.30615,-121.95235
Brooklyn,Bushwick,Private room,68,30,1,40.70159,-73.92692
Unknown,Haight Ashbury,Entire home/apt,225,2,21,37.76645,-122.44793
Unknown,Unincorporated Areas,Entire home/apt,75,2,129,36.10289,-115.09703
Unknown,CBD,Entire home/apt,75,60,3,39.74563,-104.99452
Unknown,Unincorporated Areas,Entire home/apt,132,2,16,36.10656,-115.16583
Other Cities,Lawndale,Private room,60,2,7,33.88382,-118.35497
Manhattan,Upper West Side,Entire home/apt,215,30,2,40.79333,-73.96857
Unknown,78745,Entire home/apt,120,31,13,30.21013,-97.77674
Unknown,Washington,Entire home/apt,100,30,4,44.96259,-92.98337
Manhattan,SoHo,Private room,282,1,0,40.71899,-74.00102
Central Area,Minor,Entire home/apt,122,2,62,47.60894,-122.30583
Manhattan,Midtown,Private room,1105,1,0,40.74817,-73.98561
City of Los Angeles,Downtown,Entire home/apt,255,2,0,34.04886,-118.24722
Unknown,Davie,Private room,70,4,86,26.08823,-80.25477
City of Los Angeles,Echo Park,Private room,50,30,0,34.08756,-118.25218
Brooklyn,Crown Heights,Entire home/apt,149,2,28,40.67536,-73.94105
Brooklyn,Bedford-Stuyvesant,Private room,60,30,8,40.68628,-73.95076
Unknown,Pompano Beach,Entire home/apt,167,2,34,26.21089,-80.11915
West Seattle,Arbor Heights,Entire home/apt,75,1,110,47.503071,-122.37886
Unknown,Sky Line,Entire home/apt,175,30,5,32.707388685366666,-117.04824034232789
Unknown,Western Addition,Private room,110,1,9,37.77806,-122.42364
Washington,Narragansett,Entire home/apt,400,3,0,41.387882232666016,-71.48728942871094
Unknown,Outer Sunset,Entire home/apt,219,30,15,37.75532,-122.50364
Unknown,Unincorporated Areas,Entire home/apt,88,1,131,36.10657,-115.16539
Unknown,Concordia,Entire home/apt,79,2,138,45.56086,-122.6319
Unknown,Wright,Entire home/apt,150,7,3,45.07865,-93.97992
Other Cities,Long Beach,Entire home/apt,100,31,0,33.79232220447435,-118.20041670861632
Brooklyn,Flatbush,Private room,61,30,0,40.65123316613607,-73.95617320837468
Other Cities,El Segundo,Private room,252,1,25,33.92761,-118.385
Unknown,Lauderdale By The Sea,Entire home/apt,130,7,72,26.21254,-80.09187
Brooklyn,Canarsie,Entire home/apt,140,2,0,40.64008,-73.88193
Other Cities,Santa Monica,Entire home/apt,283,1,1,34.01503872473721,-118.4935935999579
City of Los Angeles,Sherman Oaks,Private room,89,30,0,34.16215,-118.45653
Manhattan,Upper West Side,Private room,300,2,17,40.79402,-73.96637
City of Los Angeles,Downtown,Entire home/apt,133,30,2,34.04727,-118.23884
Unknown,78757,Entire home/apt,364,21,50,30.35633,-97.74229
Unknown,28704,Entire home/apt,167,2,134,35.47484,-82.50477
Manhattan,West Village,Entire home/apt,1200,1,2,40.73932,-74.00601
Unknown,City of Henderson,Entire home/apt,304,30,26,36.10167,-114.93001
Manhattan,Upper East Side,Entire home/apt,217,1,0,40.77733006824716,-73.95440701319967
Bronx,Kingsbridge,Private room,30,30,12,40.88376,-73.90436
Unknown,Bywater,Entire home/apt,183,2,7,29.96332,-90.03702
Unknown,King,Entire home/apt,56,1,54,45.554653,-122.654266
City of Los Angeles,Boyle Heights,Entire home/apt,224,2,4,34.04989,-118.21278
Unknown,Balboa Park,Entire home/apt,104,2,10,32.72457,-117.1289
Other Cities,Gardena,Entire home/apt,90,1,91,33.88672,-118.31284
Unknown,Back Bay,Entire home/apt,794,10,3,42.35082,-71.07943
Unknown,Mission Bay,Entire home/apt,175,60,80,32.79299,-117.23458
Unknown,Ward C (councilmember Richard Boggiano),Entire home/apt,169,1,94,40.73222,-74.07091
Unknown,Unincorporated Areas,Private room,794,3,9,36.10762,-115.16965
Unknown,Potrero Hill,Private room,94,1,405,37.76283,-122.40393
City of Los Angeles,Chinatown,Private room,56,1,7,34.06689648751549,-118.24632072798327
Unknown,Plantation,Entire home/apt,279,30,94,26.11278,-80.28185
City of Los Angeles,Arlington Heights,Shared room,30,30,1,34.04846,-118.318
Unknown,78702,Entire home/apt,165,2,131,30.2778,-97.71743
Unknown,Pacific Beach,Entire home/apt,138,3,264,32.79503,-117.23634
Staten Island,St. George,Private room,70,31,0,40.64134,-74.07942
Manhattan,Hell's Kitchen,Entire home/apt,390,30,1,40.75488,-73.994
Unknown,Seventh Ward,Entire home/apt,523,1,2,29.97104,-90.0692
Unknown,Unincorporated Areas,Entire home/apt,141,3,0,36.1131,-115.18844
Unknown,78704,Entire home/apt,111,1,227,30.24534,-97.75449
Washington,South Kingstown,Entire home/apt,115,4,8,41.4323,-71.49428
Manhattan,Washington Heights,Entire home/apt,200,30,3,40.83547,-73.94659
Unknown,Unincorporated Areas,Entire home/apt,151,2,366,36.11359,-115.18669
Unknown,District 12,Shared room,26,30,3,36.16217,-86.5906
Unknown,Unincorporated Areas,Entire home/apt,223,2,1,36.0342,-115.17276
Unknown,Unincorporated Areas,Entire home/apt,799,3,0,36.1078328,-115.1611376
Washington,Westerly,Entire home/apt,200,7,12,41.32242,-71.81711
Unincorporated Areas,Charter Oak,Entire home/apt,469,7,51,34.10266,-117.84105
Unknown,Deerfield Beach,Private room,41,1,0,26.32126,-80.13057
Unknown,Lincoln Park,Private room,80,32,0,41.92556,-87.65245
City of Los Angeles,Palms,Entire home/apt,156,2,47,34.02416,-118.41746
Manhattan,West Village,Entire home/apt,249,2,2,40.73664,-74.00313
Unknown,Unincorporated Areas,Entire home/apt,146,1,17,36.11347,-115.18814
Manhattan,Hell's Kitchen,Entire home/apt,350,30,10,40.76283,-73.99018
Unknown,City of Las Vegas,Entire home/apt,110,2,9,36.21441,-115.23103
Unknown,City of Las Vegas,Entire home/apt,900,1,0,36.16552,-115.20193
Washington,South Kingstown,Entire home/apt,715,7,4,41.44297,-71.47625
Unincorporated Areas,Rowland Heights,Private room,48,3,18,33.96933,-117.91365
Other Cities,Santa Monica,Private room,71,1,601,34.02026,-118.47336
Unknown,Hollywood,Entire home/apt,339,4,9,25.98727,-80.12141
Unknown,San Jose,Entire home/apt,178,31,0,37.3204226,-121.948461
City of Los Angeles,Hollywood Hills,Entire home/apt,79,31,0,34.10472,-118.34315
City of Los Angeles,Sherman Oaks,Entire home/apt,100,30,2,34.15267,-118.45896
Manhattan,Midtown,Private room,64,1,16,40.74681,-73.9889
City of Los Angeles,Sherman Oaks,Private room,99,30,1,34.164181497105936,-118.4553598917114
Bronx,Claremont Village,Private room,49,3,1,40.843850680917946,-73.90867970374957
Unknown,District 19,Entire home/apt,139,1,466,36.17105,-86.78033
City of Los Angeles,Eagle Rock,Private room,58,30,137,34.14002,-118.20385
Northgate,Haller Lake,Entire home/apt,99,30,65,47.71871,-122.33538
Brooklyn,Bushwick,Private room,115,3,0,40.70196,-73.92783
Unknown,"Shaw, Logan Circle",Private room,138,1,4,38.90924,-77.02477
Unknown,Avondale,Entire home/apt,570,3,184,41.93405,-87.70322
Unknown,Mission Bay,Entire home/apt,158,1,20,32.77816,-117.25273
Unknown,Nob Hill,Private room,20000,1,0,37.792521,-122.410035
Manhattan,Midtown,Entire home/apt,755,30,1,40.76453,-73.983658
Unknown,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Entire home/apt,102,2,149,38.86806488037109,-76.98453521728516
Unknown,Ocean Beach,Private room,50,5,51,32.7504,-117.24297
Manhattan,Chelsea,Entire home/apt,173,30,0,40.7447502,-73.9985142
Unknown,Memorial,Entire home/apt,178,1,63,32.70658,-117.12417
Unknown,Unincorporated Areas,Private room,37,30,4,36.12797,-115.23427
Brooklyn,Sunset Park,Entire home/apt,164,1,72,40.64564,-74.01864
Unknown,"Union Station, Stanton Park, Kingman Park",Private room,541,1,1,38.89762,-77.00879
Unknown,78702,Entire home/apt,400,4,3,30.2638,-97.71527
Unknown,Campbell,Entire home/apt,74,4,49,37.27182,-121.95793
Unknown,District 24,Private room,55,1,25,36.13397,-86.83208
Manhattan,Harlem,Private room,42,30,3,40.82634,-73.94023
Manhattan,Greenwich Village,Entire home/apt,214,5,2,40.73095,-74.00016
Unknown,Sunnyside,Entire home/apt,193,2,52,45.51567,-122.61816
Other Cities,Alhambra,Private room,60,31,0,34.09343,-118.11921
Unknown,Dorchester,Private room,124,28,3,42.31748,-71.06872
Other Cities,Redondo Beach,Entire home/apt,2000,30,13,33.87209,-118.38335
Brooklyn,Williamsburg,Private room,44,90,0,40.70894,-73.96758
Unknown,78723,Entire home/apt,146,30,0,30.29728,-97.70449
Unknown,West Riverside,Entire home/apt,92,30,1,29.91782,-90.10443
Unknown,Fort Lauderdale,Entire home/apt,272,3,31,26.09647,-80.19075
Unknown,"Capitol Hill, Lincoln Park",Entire home/apt,395,7,13,38.88306,-77.00267
Unknown,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,103,31,4,38.91531,-77.04484
Unknown,Cupertino,Entire home/apt,102,30,136,37.33297,-122.05957
City of Los Angeles,Downtown,Entire home/apt,51,31,0,34.03114321089152,-118.26370292716442
Unknown,Pompano Beach,Entire home/apt,232,2,0,26.22549,-80.15975
Queens,Fresh Meadows,Shared room,115,1,6,40.731633,-73.7840743
Unknown,Lauderdale By The Sea,Entire home/apt,69,3,4,26.21432,-80.09264
Manhattan,East Harlem,Private room,90,30,24,40.79647,-73.93555
Unknown,Unincorporated Areas,Entire home/apt,393,3,0,36.11355,-115.16329
Unknown,Unincorporated Areas,Entire home/apt,201,2,1,36.1075,-115.17199
Unknown,West Town,Entire home/apt,77,1,71,41.89581,-87.65577
Other Cities,Santa Monica,Entire home/apt,196,1,68,34.01811,-118.49793
City of Los Angeles,Historic South-Central,Shared room,40,30,0,34.02854,-118.27253
City of Los Angeles,Encino,Shared room,35,30,1,34.16242,-118.50061
Manhattan,Washington Heights,Private room,68,1,1,40.854799417557686,-73.92901614773466
Unknown,Fort Lauderdale,Entire home/apt,232,2,45,26.12444,-80.12041
Unknown,Hollywood,Shared room,43,3,1,26.01343,-80.1504
Unknown,Downtown,Entire home/apt,105,2,50,42.35418,-71.06267
Unknown,Goose Hollow,Entire home/apt,120,30,21,45.52258,-122.69955
Unknown,Sloan Lake,Entire home/apt,90,1,1,39.755301306733294,-105.0291292525273
Unknown,Palo Alto,Entire home/apt,136,4,50,37.44754,-122.15642
Unknown,Los Gatos,Entire home/apt,199,3,0,37.227688633993495,-121.91210445396727
Washington,Narragansett,Entire home/apt,350,5,0,41.48410550499795,-71.42406476560669
