neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,latitude,longitude
Brooklyn,Crown Heights,Private room,39,30,0,40.67329,-73.95864
City of Los Angeles,Mid-Wilshire,Entire home/apt,307,30,5,34.05499,-118.35226
Unknown,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Private room,21,31,9,38.96104,-77.0007
Unknown,Grant Hill,Entire home/apt,89,2,2,32.71128882735418,-117.143467754273
Brooklyn,Prospect-Lefferts Gardens,Private room,58,1,7,40.65994,-73.94226
Unknown,Haight Ashbury,Entire home/apt,424,3,0,37.77066,-122.44485
Unknown,Fairgrounds,Entire home/apt,180,2,3,29.988053702487704,-90.0860000050522
Unknown,Baker,Entire home/apt,186,2,2,39.71353103678293,-104.99235434526813
Unknown,Hallandale Beach,Entire home/apt,100,1,1,25.98504,-80.12279
Unincorporated Areas,South Whittier,Private room,49,3,2,33.92016,-118.05331
Manhattan,Lower East Side,Entire home/apt,180,30,5,40.71969,-73.99118
Unknown,Hollywood,Entire home/apt,164,4,28,25.98869,-80.11806
Manhattan,Lower East Side,Private room,92,30,0,40.72313,-73.99291
Manhattan,Hell's Kitchen,Entire home/apt,400,30,0,40.76789,-73.9838
City of Los Angeles,Mid-City,Entire home/apt,125,30,125,34.03827,-118.3383
Manhattan,Hell's Kitchen,Private room,150,30,2,40.76135,-73.99038
Brooklyn,Bedford-Stuyvesant,Private room,63,30,3,40.69228,-73.93294
Unknown,Palo Alto,Entire home/apt,196,31,1,37.44837,-122.1663
City of Los Angeles,Northridge,Entire home/apt,88,1,0,34.232779927012054,-118.54456320405006
Unknown,District 19,Entire home/apt,344,2,24,36.14677,-86.78759
City of Los Angeles,Sherman Oaks,Private room,71,30,0,34.1640308647356,-118.45486599653904
Other Cities,Arcadia,Private room,42,15,4,34.10634,-118.04624
Unknown,Unincorporated Areas,Entire home/apt,292,1,1,37.1469,-121.62433
City of Los Angeles,Chatsworth,Entire home/apt,479,1,1,34.26378,-118.58837
Unknown,Jefferson Park,Entire home/apt,250,29,32,39.75393,-105.0192
City of Los Angeles,Sherman Oaks,Private room,99,30,0,34.16262,-118.45664
Queens,Astoria,Private room,72,5,0,40.7579069,-73.9092084
Unknown,28803,Entire home/apt,175,3,1,35.54374,-82.51772
Unknown,Mission Bay,Entire home/apt,741,3,1,32.78861,-117.25505
Brooklyn,Williamsburg,Private room,74,1,732,40.71067,-73.9525
Queens,Elmhurst,Entire home/apt,121,1,131,40.73812,-73.88313
Unknown,Treme - Lafitte,Entire home/apt,178,30,79,29.96567,-90.07043
Unknown,Moreno Mission,Entire home/apt,162,2,297,32.764839373789,-117.18958883162284
City of Los Angeles,Hollywood,Entire home/apt,155,30,56,34.09628,-118.31894
Unknown,San Jose,Private room,30,1,31,37.39624,-121.82822
Unknown,Sunrise,Private room,40,1,0,26.15487,-80.27831
Brooklyn,Greenpoint,Private room,65,5,0,40.73132795648273,-73.95310351350781
Other Cities,Gardena,Entire home/apt,153,2,2,33.91003,-118.31322
Unknown,Unincorporated Areas,Entire home/apt,669,2,0,36.12066,-115.1822
Unknown,Concordia,Private room,50,2,11,45.56143,-122.63559
Unknown,District 23,Entire home/apt,260,3,0,36.11603,-86.88722
City of Los Angeles,Mid-Wilshire,Entire home/apt,110,30,2,34.06381,-118.34751
Manhattan,Murray Hill,Entire home/apt,100,30,0,40.74982,-73.97566
City of Los Angeles,Pico-Robertson,Entire home/apt,150,1,0,34.05821,-118.38339
Unknown,Unincorporated Areas,Entire home/apt,113,1,27,37.16539,-122.02831
Unknown,Bernal Heights,Entire home/apt,204,1,97,37.73924,-122.41146
Brooklyn,Bay Ridge,Entire home/apt,320,3,4,40.631763,-74.026642
Unknown,South of Market,Entire home/apt,115,30,3,37.78836,-122.39124
City of Los Angeles,Sherman Oaks,Entire home/apt,1130,2,13,34.14508,-118.46273
Unknown,Nob Hill,Entire home/apt,300,1,0,37.79233,-122.40992
Manhattan,Little Italy,Private room,439,1,0,40.71933,-73.994843
Other Cities,Burbank,Private room,950,1,1,34.20496,-118.33581
Unknown,Near North/University,Entire home/apt,58,1,90,39.99723,-83.00428
Unknown,West Olentangy,Entire home/apt,568,1,0,39.99182,-83.05349
Unknown,Near North Side,Entire home/apt,183,32,0,41.8950138,-87.62791490000001
Unknown,"Capitol Hill, Lincoln Park",Entire home/apt,80,31,6,38.87919,-76.98422
Unknown,Marlyville - Fontainbleau,Entire home/apt,165,30,11,29.9423,-90.10981
Unknown,East Village,Entire home/apt,150,30,1,32.71551,-117.15367
Unknown,78741,Entire home/apt,123,31,1,30.2255099,-97.7053374
City of Los Angeles,Hollywood,Entire home/apt,387,30,1,34.097301,-118.348701
City of Los Angeles,North Hollywood,Entire home/apt,210,30,3,34.19559,-118.39373
Unknown,Algiers Point,Entire home/apt,102,30,2,29.95167,-90.04896
Newport,Newport,Entire home/apt,182,3,16,41.49058,-71.31276
Unknown,Lowry Field,Entire home/apt,147,30,0,39.72283,-104.89316
Unknown,Unincorporated Areas,Entire home/apt,1299,4,45,36.03209,-115.27386
Unknown,Daly City,Entire home/apt,379,2,132,37.7069091796875,-122.45745086669922
City of Los Angeles,Hollywood,Entire home/apt,270,30,4,34.09844,-118.35182
Unknown,78705,Entire home/apt,107,2,10,30.29396,-97.74285
Manhattan,Upper East Side,Private room,89,30,67,40.76963,-73.95034
Unknown,Leonidas,Entire home/apt,157,2,28,29.95732,-90.12293
Newport,Middletown,Private room,185,1,9,41.50728,-71.2972
Unknown,Downtown,Entire home/apt,102,2,31,42.35385,-71.06316
Unknown,Moreno Mission,Entire home/apt,150,30,0,32.7641,-117.18777
Unknown,78757,Entire home/apt,74,1,27,30.36095,-97.73065
City of Los Angeles,Exposition Park,Entire home/apt,85,30,1,34.01563,-118.29109
Unknown,Midtown,Private room,316,1,0,32.7385226,-117.1597926
Manhattan,East Village,Entire home/apt,129,30,2,40.72756,-73.98792
Unknown,Ward B (councilmember Mira Prinz-Arey),Entire home/apt,194,3,2,40.7296,-74.07412
Unknown,Lincoln Park,Entire home/apt,118,3,3,41.911658161235614,-87.64754421472807
Unknown,District 6,Entire home/apt,145,2,245,36.18083,-86.74369
Unknown,Hosford-Abernethy,Entire home/apt,94,2,21,45.50527374286095,-122.6514853915651
City of Los Angeles,Porter Ranch,Entire home/apt,80,30,1,34.259728,-118.5296845
Unknown,78734,Entire home/apt,100,15,6,30.37654,-97.97414
Unknown,Unincorporated Areas,Entire home/apt,354,3,4,36.03446,-115.17231
Unknown,78703,Entire home/apt,289,7,63,30.27887,-97.75649
Unknown,San Mateo,Entire home/apt,138,2,23,37.57173,-122.31512
Manhattan,Harlem,Private room,61,1,82,40.82794,-73.94829
Brooklyn,Red Hook,Entire home/apt,200,30,5,40.67974,-74.00985
Other Cities,Gardena,Private room,36,7,0,33.90119941987058,-118.30255014946069
Other Cities,Rosemead,Entire home/apt,178,2,266,34.07853,-118.07675
Other Cities,Monterey Park,Private room,69,31,0,34.05689,-118.11314
Unknown,Auburn Gresham,Entire home/apt,211,32,0,41.75292,-87.65494
City of Los Angeles,Venice,Entire home/apt,220,30,37,33.99606,-118.47198
Unknown,Mission Bay,Entire home/apt,333,31,15,32.58112,-117.03063
Brooklyn,Cypress Hills,Private room,59,1,173,40.68568,-73.87253
City of Los Angeles,Hollywood,Entire home/apt,133,31,1,34.08781,-118.33689
